raw_station_id,canonical_station_id
CHI01595,1135.0
526,CHI01265
CHI01150,768
CHI00531,KA1503000064
CHI01729,1242.0
CHI01335,641
CHI00575,KA1504000079
CHI00606,SL-011
CHI00221,KA1503000020
CHI00649,PI00003
953,CHI01435
CHI01499,1045
CHI00296,TA1307000070
911,CHI01377
CHI01078,646
CHI00718,18069
CHI00943,475
CHI00284,13331
CHI00505,TA1309000036
CHI00864,20211
CHI00470,13338
CHI01039,789
CHI01879,23002
371,CHI01887
CHI00633,KA1504000127
CHI00809,20245
CHI00821,20119
CHI00281,TA1307000039
CHI00880,20228
CHI02202,402
CHI00883,20130
CHI01458,992
CHI00861,20124
CHI01785,23143
21336,CHI01794
CHI01241,586
CHI00314,13124
24431,CHI01956
21337,CHI01898
CHI00896,425
CHI01100,782
CHI01580,1120.0
CHI01375,909
CHI00555,KA1503000044
CHI01090,723
CHI00229,13194
CHI00596,16918
CHI00459,TA1309000012
CHI00588,PI00002
CHI01715,1201.0
CHI00892,358
345,21345
CHI00423,TA1307000164
CHI01996,22002
CHI02052,TA1306000014
CHI00802,20203
24335,CHI01974
CHI00909,389
16932,CHI00601
CHI01434,960
CHI00760,KA1503000011
CHI00353,TA1307000134
CHI01578,1118.0
CHI00377,TA1307000136
CHI00765,KA1503000014
Corral 19,CHI01541
21406,CHI01893
CHI01553,1093.0
CHI00635,15650
CHI00469,TA1309000019
CHI00766,640
24150,CHI01820
24477,CHI02000
CHI00912,21339
CHI00491,15449
CHI01871,21352
380,CHI01790
CHI01465,999
CHI00982,772
400,21400
25481,CHI02014
CHI02084,472
CHI00905,419
CHI00537,KA1504000133
CHI01418,946
CHI01221,702
CHI00532,15550
CHI00808,20251.0
CHI00650,15666
CHI01138,764
CHI00481,TA1309000043
CHI00325,TA1309000003
23112,CHI01539
CHI01522,1070
952,CHI01427
CHI02327,13045
CHI01374,333.0
CHI01626,1169.0
CHI00471,TA1309000018
CHI00702,18017
CHI01287,520
CHI01317,710
CHI00849,20212
CHI00319,KA1503000068
25429,CHI02010
CHI01612,1154.0
CHI02075,428
CHI00767,20106
CHI00942,474
CHI01152,846
CHI01040,847
CHI01081,590
307,CHI00803
CHI01992,24393
Corral 13,CHI01769
CHI00295,13045
24425,CHI01976
CHI01061,855
CHI01255,828
653B,CHI02031
CHI00911,397
CHI00540,KA1504000135
CHI01494,1040
CHI02039,13102
CHI01222,661
CHI01723,1275.0
21349,CHI01927
CHI00565,KA1503000019
CHI01450,984
317,21317
850,CHI01262
CHI00478,TA1309000050
CHI02199,348
CHI01865,21452
CHI00660,15689
CHI02047,KA1503000001
CHI01629,1172.0
CHI00485,TA1309000051
21363,CHI01980
CHI00351,13303
CHI01099,841
CHI00516,13143
CHI00291,13192
CHI00994,810
CHI00225,TA1306000016
368.0,21368
CHI01331,756
CHI00278,13353
CHI01160,802
CHI00341,13257
1021,CHI01476
CHI02225,355
CHI01604,1144.0
CHI01696,1216.0
CHI00223,13216
CHI00745,16933
24250,CHI01874
CHI01087,760
CHI00318,13136
24326,CHI01932
24252,CHI01944
CHI01117,682
CHI01574,1114.0
CHI00696,556
CHI01699,1214.0
CHI00434,13304
CHI00255,TA1307000041
CHI00630,KA1504000147
462,21462
CHI00697,18003
CHI00741,600
CHI00620,RP-002
CHI01353,886
CHI00800,667
CHI00891,355
CHI01336,545
CHI00337,15578
CHI00708,18025
21407,CHI01867
CHI01448,982
CHI00310,TA1307000126
24374,CHI02004
1190.0,CHI01678
CHI00384,13073
CHI01073,766
1131.0,CHI01591
CHI01113,784
CHI00264,TA1306000032
384,CHI01849
CHI00867,20221
CHI01034,685
CHI00677,536
CHI00955,490
CHI00906,420
CHI00868,20218
CHI01340,873
CHI01282,690
24212,CHI01836
CHI00776,20111
CHI00342,TA1307000124
CHI01837,chargingstx5
CHI01557,1097.0
CHI01679,1225.0
CHI00794,20108
CHI00781,SL-010
CHI00464,TA1309000026
CHI01800,23107
CHI01181,566
CHI00388,13133
CHI00863,20222
CHI00641,15653
CHI02322,430
CHI00444,13128
24151,CHI01834
CHI01291,830
CHI00685,544
CHI00750,636
CHI00538,KA1504000141
CHI00323,13162
CHI00852,20226
21354,CHI01846
13230,TA1308000019
CHI01888,342
CHI01076,624
CHI00927,438
CHI01122,530
CHI00608,KA1504000151
CHI01763,23180
CHI02187,362.0
23172,CHI01765
CHI01470,1015
CHI01297,836
CHI01278,499
24194,CHI01906
CHI01911,21396
CHI01013,799
CHI01797,23138
CHI00474,13146
CHI02228,308
CHI00487,13191
CHI00466,TA1309000030
CHI00274,TA1307000052
CHI02147,438
CHI00847,21304
CHI00468,TA1309000027
CHI01118,750
24230,CHI01854
CHI00504,TA1309000061
CHI01107,689
CHI00865,21325
593,CHI00734
CHI00218,15597
CHI01600,1140.0
915,1042
CHI00536,KA1504000142
1219.0,CHI01695
24253,CHI01917
CHI01446,980
  24321,CHI01921
CHI02205,392
CHI01897,21357
CHI00438,TA1305000005
CHI00834,20257.0
CHI00419,KA1503000041
CHI01562,1102.0
CHI00368,15530
24196,CHI01872
CHI00988,735
CHI02234,464
CHI01062,729
CHI01928,22001
CHI00670,528
CHI00472,TA1309000015
25437,CHI02005
Corral 8,CHI02035
CHI00625,KA1504000149
CHI01768,15621
CHI01389,923
24364,CHI01977
25490,CHI02015
CHI01759,23173
CHI00692,16991
CHI00885,372
CHI01773,21390
CHI00689,16953
CHI00577,KA150400009X
CHI01523,1071
CHI01813,24145
CHI00517,TA1306000003
CHI00761,KA1503000012
CHI00578,KA1504000102
CHI01693,1220.0
CHI00383,15534
CHI01041,514
CHI00521,13138
24273,CHI01900
CHI00846,20244
CHI01732,1269.0
CHI01617,1159.0
CHI01767,21382
Corral 7,CHI00960
483,CHI00948
CHI01752,23116
CHI01259,845
CHI00664,16806
CHI02104,410
CHI00445,TA1308000023
24285,CHI01978
CHI00462,TA1309000024
CHI00317,13134
Corral 12,CHI01814
CHI01466,1011
24369,CHI01910
1064,CHI01516
CHI00609,KA1706005015
CHI00544,KA1504000134
CHI01845,21385
24415,CHI01963
CHI00728,20101
CHI01390,924
CHI01619,1162.0
CHI02085,436
CHI02023,13154
CHI01229,815
CHI01290,507
CHI00358,13430
24402,CHI01948
21418,CHI01866
CHI00841,20217
CHI01459,993
CHI01230,824
CHI00859,20123
CHI00623,15643
CHI01899,21351
CHI01606,1146.0
CHI00240,13058
CHI01754,23113
16907,CHI00542
363.0,CHI01980
CHI00506,TA1309000059
CHI00563,15571
CHI00956,20127
CHI00860,20229
CHI00924,434
CHI00355,13345
CHI02050,TA1305000025
CHI01808,23210
CHI01753,23115
CHI00338,13247
13064,TA1306000012
24366,CHI01982
CHI01004,832
CHI00231,13213
CHI00328,13215
CHI01724,1235.0
CHI00382,13294
CHI00952,481
CHI00268,13258
23131,CHI01803
CHI01517,1065
24246,CHI01838
676,CHI01053
CHI01621,1164.0
CHI00655,15685
CHI00237,TA1307000005
CHI00758,609
CHI00393,TA1308000049
CHI00981,693
CHI00604,SL-012
CHI01542,13037
CHI00962,15640
CHI01365,900
CHI01913,22003
CHI01114,604
CHI00400,TA1308000038
CHI01587,1127.0
CHI01393,927
CHI01355,888
CHI02148,445
CHI00404,13245
CHI01687,1234.0
CHI00731,589
CHI00789,652
CHI00819,20118
CHI01296,842
1066,CHI01518
CHI01660,1231.0
CHI00451,KA1503000034
CHI00256,13083
21374,CHI01889
CHI01045,560
CHI00646,KA1504000167
365.0,21365
495,CHI00970
CHI01247,745
CHI00613,KA1504000175
CHI00426,TA1308000013
CHI00801,RP-005
CHI00005,13243
CHI01931,24398
1028,CHI01482
CHI00989,733
CHI01195,737
24340,CHI01987
CHI00551,KA1503000071
CHI00273,TA1306000026
CHI02229,313
21312,CHI00813
CHI00554,KA1503000047
CHI01861,21403
CHI02034,KA1503000007
CHI01147,866
CHI01653,1281.0
CHI02186,422
CHI00496,13325
CHI00443,13135
CHI01436,944
CHI01563,1103.0
CHI01474,1019
CHI01547,1087.0
CHI01860,21400
CHI00313,TA1307000117
CHI01620,1163.0
CHI00662,15692
CHI00401,TA1308000043
CHI01488,1034
CHI01589,1129.0
CHI00261,TA1306000002
CHI00624,PI00001
1139.0,CHI01599
CHI01491,1037
CHI00928,439
CHI01417,958
CHI01341,874
CHI02038,E002
CHI01514,1062
CHI00339,TA1307000113
CHI00762,KA1503000013
CHI01344,877
CHI00568,KA1503000025
1043,CHI01497
CHI01467,1012
CHI00576,KA1504000103
CHI01383,917
CHI00302,15615
CHI00489,13326
CHI01722,1271.0
1048,CHI01502
CHI00700,17660
CHI00807,20126
CHI01594,1134.0
CHI01251,620
CHI01933,20240
CHI00815,21322
CHI00798,662
24356,CHI01929
CHI01133,776
CHI01485,1031
CHI01493,1039
23170,CHI01783
CHI01154,865
CHI01615,1157.0
CHI01564,1104.0
CHI00724,583
CHI01821,21329
CHI01749,13029
CHI00513,WL-011
CHI00415,TA1307000161
21384,CHI01849
Corral 22,CHI00964
21388,CHI01824
24410,CHI01946
CHI01792,21377
CHI00252,13042
CHI00449,TA1309000007
CHI00698,18016
CHI01802,23136
CHI00597,KA1504000113
CHI00285,TA1307000064
CHI01762,23175
CHI01775,SL-008
CHI01915,13036
CHI00279,TA1306000013
CHI00805,21309
(ARCHIVE)CHI02079,TA1306000010
CHI00590,KA1504000129
CHI00418,15529
CHI00922,432
CHI00937,465
CHI01631,1174.0
CHI00560,15546
751,CHI01035
25218,CHI01997
CHI00589,KA1504000110
24472,CHI01986
395,21395
24412,CHI01953
CHI00661,15691
CHI01171,531
CHI01635,1178.0
24427,CHI01971
CHI00567,KA1503000073
CHI00559,KA1503000059
CHI00574,KA1503000074
24371,CHI02002
CHI00959,23110
CHI00953,480
CHI01853,24207
CHI00881,20116
CHI00562,KA1503000022
CHI00572,KA1504000091
CHI01895,24281
CHI00812,21314
20210,CHI00838
CHI00515,13354
CHI00628,15646
CHI00837,20133
CHI00366,TA1308000035
CHI01015,860
1136.0,CHI01596
25479,CHI02016
CHI00502,TA1309000067
CHI00381,TA1307000158
CHI01662,1224.0
CHI01252,852
CHI00251,TA1305000029
CHI00822,20260.0
CHI00850,20236
CHI01809,CHI02161
CHI01581,1121.0
CHI01286,521
25405,CHI01990
CHI00390,13137
827,CHI01024
CHI01881,23101
CHI00216,TA1305000009
24135,CHI01811
CHI01021,798
CHI00748,20104
CHI01851,21387
CHI00672,16937
CHI00915,392
24289,CHI01901
CHI00862,20207
CHI01423,966
CHI01479,1024
CHI00403,13288
CHI00422,TA1308000002
CHI01237,643
CHI01640,1183.0
CHI00975,679
CHI00890,399
CHI01702,1210.0
CHI00498,13341
CHI01847,24146
CHI01165,554
CHI00713,18058
24368,CHI01954
24266,CHI01919
CHI01778,23123
338,CHI01875
CHI01432,972
CHI00831,20201
CHI00893,402
CHI00839,20208
1063,CHI01515
CHI00600,16921
CHI01121,548
24333,CHI01934
24454,CHI01981
CHI00934,458
CHI01882,21334
CHI01295,681
CHI00300,15622
CHI02026,chargingstx06
CHI00754,RP-008
CHI00657,KA1504000114
CHI01272,833
CHI02032,KA1503000004
CHI01654,1197.0
24363,CHI01952
CHI02261,372
CHI01163,623
CHI01108,719
CHI00654,15682
684,CHI01023
Corral 21,CHI00961
CHI00250,TA1305000010
CHI00245,TA1306000009
CHI00888,410
CHI01128,840
CHI01748,13028
CHI02043,E008
CHI01409,973
CHI01786,23122
CHI00887,404
CHI00580,KA1504000101
CHI01733,1272.0
CHI01454,988
CHI01650,1240.0
CHI00227,KA1504000097
CHI00414,13109
CHI00752,RP-009
CHI00433,TA1308000047
CHI01671,1192.0
CHI01323,694
396,21396
CHI00875,20121
CHI00518,15539
CHI01709,1203.0
CHI01569,1109.0
CHI01726,1246.0
CHI01903,23001
CHI00705,18022
CHI00997,610
CHI02233,458
CHI00638,KA1504000160
CHI00683,16950
CHI00272,13074
CHI00806,20247.0
CHI00374,13300
CHI00996,626
CHI01253,313
364.0,CHI00898
382,21382
CHI00972,547
CHI01703,1194.0
15687,CHI00658
CHI01449,983
CHI01261,849
CHI00477,TA1309000042
CHI01609,1149.0
CHI00385,TA1307000142
24360,CHI01968
CHI01030,572
CHI01628,1171.0
CHI00232,TA1307000001
CHI00777,670
CHI00446,13253
CHI00292,KA1503000040
CHI00510,370
CHI01573,1113.0
CHI01378,912
CHI01208,605
955,CHI01411
CHI00835,20230
21371,CHI01887
CHI01643,1186.0
CHI01408,942
CHI00297,TA1306000008
CHI00364,TA1305000017
CHI00644,15654
CHI02219,342
CHI00854,20227
CHI00249,KA1503000055
CHI01683,1237.0
CHI00570,15631
CHI00512,13259
CHI01203,577
CHI00919,485
CHI01856,21359
CHI00902,414
CHI00799,651
CHI00811,21317
23215,CHI01828
CHI00406,13157
393,CHI01819
CHI00523,KA1503000051
CHI02262,CHI00898
CHI00985,859
CHI00647,15664
CHI00215,15624
CHI00966,491
CHI00301,TA1307000127
CHI02226,358
CHI00688,16951
CHI00236,TA1307000006
CHI00899,348
21303,CHI00824
CHI00607,TA1305000004
418,CHI01866
CHI01301,691
13127,TA1309000025
CHI00312,TA1307000159
CHI00371,KA1504000159
CHI01227,821
24476,CHI01964
CHI00373,TA1307000153
CHI00733,592
CHI01400,934
CHI01524,1072
403,21403
CHI01508,1056
(ARCHIVE)CHI02077,KA1503000012
857,CHI00984
CHI00356,344
CHI01818,24153
CHI01988,chargingstx3
CHI00556,KA1503000038
24419,CHI01939
13208,TA1309000036
CHI01904,21367
CHI01700,1241.0
CHI01156,597
CHI01825,23190
CHI00564,KA1503000053
CHI00299,KA1503000043
CHI01443,977
CHI01597,1137.0
CHI01345,878
CHI00579,KA1504000096
387,21387
23104,CHI01955
24367,CHI01938
CHI00316,13132
24379,CHI01973
CHI00239,13277
CHI01001,508
CHI00679,16940
CHI01663,1278.0
CHI00265,TA1306000025
CHI00721,579
CHI01124,510
KA1504000168,CHI00618
CHI01224,818
CHI01676,1279.0
312,CHI00813
CHI01909,24267
CHI01266,519
CHI01199,808
CHI01504,1052
CHI00707,565
1082.0,CHI01534
CHI01101,767
CHI01406,940
CHI00448,TA1309000010
CHI00877,347
20237,CHI00856
CHI01624,1167.0
CHI01975,24258
CHI00527,KA1503000069
CHI01592,1132.0
24370,CHI01942
KA1503000010,CHI00756
CHI00684,543
CHI00866,20206
24158,CHI01892
CHI00482,TA1308000022
CHI01930,24234
CHI01641,1184.0
CHI00220,KA1503000033
CHI00405,TA1305000006
CHI00967,492
24353,CHI01999
24401,CHI01949
CHI01647,1254.0
20125,CHI00829
CHI00983,843
CHI01731,1191.0
CHI00430,13278
321,23321
CHI00350,15585
CHI01139,546
CHI02252,432
CHI02042,E007
CHI00790,20110
CHI00987,758
CHI01593,1133.0
CHI01725,1228.0
CHI01586,1126.0
CHI00503,13319
CHI00534,KA1504000086
CHI00396,TA1308000050
21346,CHI01925
CHI00520,13398
CHI00895,362.0
24199,CHI01873
21383,CHI01918
CHI00411,TA1308000019
CHI01509,1057
CHI01402,936
CHI01658,1236.0
CHI02253,CHI02076
CHI01328,835
CHI01736,1230.0
CHI01945,23106
CHI02024,1524189
CHI01279,310
CHI01205,567
CHI00421,TA1307000163
CHI00331,TA1307000138
774,CHI01311
CHI00954,482
CHI00666,522
CHI02254,424
24279,CHI01896
CHI01182,722
CHI01217,649
21421,CHI01869
23162,CHI01804
CHI00407,TA1307000166
24338,CHI01935
CHI01545,23120
CHI01634,1177.0
24359,CHI01912
CHI02086,429
CHI01616,1158.0
CHI00246,TA1305000035
CHI00340,13256
CHI01431,962
CHI00674,632
CHI00412,13266
CHI01636,1179.0
CHI00827,20240
CHI00782,SL-006
CHI00795,20107
CHI01570,1110.0
21353,353
CHI00787,658
CHI00233,TA1305000032
CHI01333,709
CHI01395,929
CHI01549,1089.0
1260.0,CHI01668
CHI01322,695
CHI00582,KA1503000031
CHI00716,18067
CHI02149,442
CHI00440,13285
CHI00497,WL-008
CHI00399,TA1308000007
CHI00965,Corral 23
716,CHI01326
24459,CHI01984
CHI01521,1069
CHI00991,573
CHI01387,921
CHI02230,443
CHI00557,KA1503000021
CHI00738,20102
CHI00561,KA1503000023
CHI00234,13071
CHI00222,TA1307000048
301,21301
CHI00910,376
CHI02208,20201
786,CHI01299
CHI01192,763
375,CHI01886
CHI00345,13263
CHI00294,TA1306000012
CHI00380,13249
CHI01774,SL-007
CHI00248,KA1503000032
CHI01630,1173.0
24283,CHI01884
CHI02159,24213
CHI02040,13420
CHI01185,512
CHI00969,494
1193.0,CHI01716
CHI00394,TA1308000009
CHI01496,1042
CHI01412,959
CHI02212,397
CHI01083,538
CHI00467,TA1309000029
CHI00832,20242
CHI01368,903
CHI00986,856
CHI00747,20112
CHI01623,1166.0
CHI01712,1211.0
24148,CHI01780
582,CHI00723
CHI01169,563
CHI00290,TA1307000107
CHI00286,13196
24499,CHI02027
CHI00878,chargingstx4
CHI00361,KA1504000156
CHI01916,24347
883,CHI01350
1204.0,CHI01707
CHI00247,KA1503000029
CHI02022,chargingstx1
CHI00936,464
CHI01132,770
1221.0,CHI01721
CHI01655,1205.0
CHI01555,1095.0
CHI00779,20114
CHI00369,KA1504000158
CHI00753,20113
CHI01369,904
24341,CHI01936
CHI01131,773
CHI00739,598
CHI01032,534
407,CHI01867
CHI01220,698
CHI00447,TA1309000004
23192,CHI01827
CHI01750,13033
CHI00908,424
CHI01164,673
CHI01682,1239.0
CHI00217,KA1504000080
CHI00595,16916
CHI01582,1122.0
CHI00916,398
CHI01530,1078.0
CHI00573,KA1503000024
417,CHI00904
CHI00480,TA1309000049
CHI00737,596
CHI00921,431
CHI00348,13271
CHI00940,472
CHI01843,21326
CHI00307,13084
CHI01438,964
CHI00509,WL-012
CHI00569,KA1504000082
CHI01506,1054
CHI01529,1077.0
CHI00876,20215
CHI01556,1096.0
CHI00417,TA1308000006
CHI01645,1188.0
CHI01766,24155
863,CHI01236
785,CHI01249
CHI00938,466
CHI00213,341
CHI00610,15632
CHI00483,13427
CHI01622,1165.0
CHI00951,446
CHI02133,20.0
CHI00611,KA1504000155
CHI00409,TA1308000026
CHI01863,24157
24407,CHI01947
CHI00663,16010
CHI01605,1145.0
CHI00591,16913
CHI01250,614
CHI01445,979
CHI00946,478
CHI00308,13091
CHI01403,937
CHI00362,13434
796,CHI01175
CHI01123,780
CHI02150,24155
CHI00823,20243
CHI00796,318
CHI01277,500
575,CHI01104
CHI00253,TA1306000010
CHI00346,TA1307000160
CHI01735,1277.0
963,CHI01421
24430,CHI01957
CHI01633,1176.0
CHI02220,341
CHI00730,588
CHI00363,15442
Corral 11,CHI01878
CHI01566,1106.0
CHI02217,CHI01149
CHI01717,1200.0
CHI01473,1018
24358,CHI01970
CHI00918,428
CHI00494,TA1309000058
CHI00788,657
Corral 10,CHI01833
CHI01743,13011
CHI00305,13081
CHI01028,804
CHI01051,862
CHI01202,568
CHI02078,TA1309000007
CHI00425,TA1307000156
746,CHI01115
452,21452
CHI01308,708
CHI02244,444
24400,CHI01991
CHI01033,541
CHI00903,415
CHI00699,558
CHI01565,1105.0
CHI00424,13099
CHI01166,559
CHI00395,13389
CHI02044,E011
24396,CHI01951
CHI01000,839
CHI01420,970
CHI00349,13289
CHI00651,KA1504000128
CHI01644,1187.0
CHI00535,15628
24220,CHI01835
CHI00968,493
CHI00490,TA1309000037
CHI02200,391
CHI00923,433
CHI01738,1199.0
CHI00357,TA1307000144
CHI01483,1029
CHI01091,638
CHI00907,422
CHI00614,15634
24263,CHI01890
CHI00260,TA1306000011
CHI01552,1092.0
CHI00771,650
CHI01782,21378
CHI01140,793
939,CHI01405
CHI00334,KA1503000065
CHI01298,757
CHI00528,KA1504000106
CHI00228,13165
CHI01772,21544
CHI02083,431
CHI00541,16906
21324,324
394,CHI01891
1218.0,CHI01691
24198,CHI01830
CHI00872,20205
CHI02201,389
CHI01758,23187
CHI00402,13158
CHI00484,13268
CHI01554,1094.0
CHI01060,714
CHI00276,13296
CHI00298,15576
1116.0,CHI01576
CHI00441,TA1309000006
CHI00525,LF-005
23167,CHI01789
CHI00826,20128
CHI00804,KA1503000009
CHI01014,687
CHI00626,LP-
CHI01254,585
CHI02255,434
659,CHI00783
CHI02079,TA1306000010
CHI01223,817
CHI01214,515
CHI00375,13241
CHI00645,15655
374,CHI01889
CHI00665,16903
CHI00682,16948
CHI01094,739
CHI00571,15575
20241,CHI01962
337,CHI01898
CHI01850,21356
CHI00266,TA1305000030
CHI00957,20234
CHI01461,995
CHI01657,1222.0
CHI02029,20105
CHI02245,446
CHI00602,RP-001
343,21343
CHI02146,425
23129,CHI01817
23163,CHI01771
948,CHI01422
CHI01379,913
CHI01883,24178
CHI01705,1209.0
21386,CHI01877
24245,CHI01844
CHI01366,901
CHI00894,487
CHI01168,551
CHI01413,947
CHI01376,910
18001,632
CHI01648,1215.0
CHI00941,473
21393,CHI01819
CHI01327,498
CHI01905,24159
CHI01737,1267.0
CHI02251,433
489,CHI00889
Corral 14,CHI01543
CHI00594,16915
CHI00335,13229
CHI00463,TA1309000021
CHI01184,831
CHI00587,KA1503000054
CHI01452,986
CHI00454,13193
CHI00853,20224
CHI00507,TA1309000033
CHI01760,23182
CHI00842,20131
CHI01048,557
CHI01065,686
357,21357
CHI00836,20254.0
CHI00360,13431
CHI00508,TA1309000066
CHI00457,13290
CHI00703,561
564,CHI00706
CHI01852,24205
21332,CHI01822
CHI01386,920
CHI01396,930
CHI01734,1276.0
CHI00242,TA1306000015
